lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1138_translation,version_1139_translation,version_1140_translation,version_1141_translation,version_1142_translation,version_1143_translation,english_translation
καρδία,203,unigram,feminine,nominative,singular,fonareo,5.410058265200393,fony,fonareo,fonareo,fonareo,fonareo,fonareo,heart
οὐρανός,7,unigram,masculine,accusative,plural,,,voromahailala,lanitra,nitriatra,nitriatra,nisokatra,lanitra,"heaven, sky"
οὐρανός,277,unigram,masculine,accusative,singular,lanitra,46.236388002565654,lanitra,lanitra,lanitra,lanitra,lanitra,lanitra,"heaven, sky"
οὐρανός,356,unigram,masculine,nominative,plural,Fanahin,1.0908824659309921,voromahailala,lanitra,Fanahin,Fanahin,vita,,"heaven, sky"
οὐρανός,208,unigram,masculine,nominative,singular,lanitra,12.57025662154981,lanitra,lanitra,,,lanitra,lanitra,"heaven, sky"
ὥρα,303,unigram,feminine,nominative,plural,fahazavan,1.273696246318889,fahazavan,fahazavan,,,fahazavan,fahazavan'izao,hour
ὥρα,28,unigram,feminine,nominative,singular,ora,5.000141956900062,ora,ora,fotoanandro,fotoanandro,ora,ora,hour
οἰκία,164,unigram,feminine,accusative,plural,lavareny,1.068721744697975,lavareny,,,,,,house
οἰκία,336,unigram,feminine,accusative,singular,trano,9.367994800742432,trano,trano,trano,trano,trano,trano,house
οἶκος,292,unigram,masculine,accusative,plural,,,,fitandremana,handraisan,handraisan,esorina,fitandremana,"house, home"
οἶκος,24,unigram,masculine,accusative,singular,an-tranony,6.652324048134984,an-tranony,an-tranony,an-tranon,an-tranon,an-tranony,an-tranony,"house, home"
κριτής,317,unigram,masculine,nominative,plural,androahan,1.3978408974777181,androahan,mpitsara,androahan,androahan,androahan,mpitsara,judge
κριτής,174,unigram,masculine,nominative,singular,mpitsara,103.47719815883492,mpitsara,mpitsara,mpitsara,mpitsara,mpitsara,mpitsara,judge
βασιλεύς,114,unigram,masculine,accusative,plural,mpanjaka,5.196339059185754,mpanjaka,mpanjaka,mpifehy,mpifehy,mpanjaka,mpanjaka,king
βασιλεύς,65,unigram,masculine,accusative,singular,mpanjaka,6.462606794983891,mpanjaka,mpanjaka,mpanjaka,mpanjaka,mpanjaka,mpanjaka,king
βασιλεία,86,unigram,feminine,accusative,plural,fanjakana,1.6870834640408234,fanjakana,fanjakana,fanjakana,fanjakana,fanjakana,fanjakana,kingdom
βασιλεία,169,unigram,feminine,accusative,singular,fanjakan,36.016092743718445,fanjakan,fanjakan,Fanjakàn,Fanjakàn,fanjakan,fanjakan'Andriamanitra,kingdom
κόπος,211,unigram,masculine,accusative,plural,mampalahelo,2.9794258842328114,,mampalahelo,anaovanareo,anaovanareo,mampalahelo,mampalahelo,"labour, work, trouble, difficulty"
