lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2073_translation,version_2074_translation,version_2075_translation,english_translation
προφήτης,256,unigram,masculine,nominative,plural,,,woli,wòlíì,wolii,prophet
προφήτης,304,unigram,masculine,nominative,singular,,,woli,wòlíì,wolii,prophet
βαλλάντιον,148,unigram,neuter,accusative,plural,,,,tọrẹ,ìtọrẹ-àánú,purse
βαλλάντιον,22,unigram,neuter,accusative,singular,,,asuwọn,àpò,báárà,purse
ποταμός,193,unigram,masculine,nominative,singular,,,,ìpìlẹ̀,àgbàrá,river
λῃστής,50,unigram,masculine,accusative,plural,,,,ọlọ́ṣà,ọlọ́ṣà,robber
λῃστής,391,unigram,masculine,accusative,singular,,,ọgọ,idà,kùmọ̀,robber
λῃστής,367,unigram,masculine,nominative,plural,olè,1.998752061534798,olè,olè,ọlọ́ṣà,robber
ἄρχων,235,unigram,masculine,accusative,plural,Pilatu,1.0774790225817599,Pilatu,Pilatu,ìjòyè,ruler
ἄρχων,110,unigram,masculine,accusative,singular,adájọ́,1.212709856982204,,adájọ́,,ruler
ἄρχων,76,unigram,masculine,nominative,plural,Kristi,1.0370224496668146,Kristi,Kristi,ìjòyè,ruler
ἄρχων,361,unigram,masculine,nominative,singular,,,alade,,aláṣẹ,ruler
ἀκοή,10,unigram,feminine,accusative,plural,,,idagìri,jáyà,ogun,rumor
