lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_934_translation,version_935_translation,version_936_translation,version_937_translation,english_translation
προφήτης,235,unigram,masculine,nominative,singular,umuhanuzi,30.308543024420743,umuhanuzi,umuhanuzi,umuhanuzi,umuhanuzi,prophet
βαλλάντιον,16,unigram,neuter,accusative,singular,umufuka,3.0484944355766475,umufuka,umufuka,uruhago,agasaho,purse
ποταμός,109,unigram,masculine,nominative,plural,imigezi,2.3479783374753476,imigezi,imigezi,,,river
ποταμός,151,unigram,masculine,nominative,singular,inzu,2.4143437234483907,inzu,inzu,urufatiro,wubatse,river
λῃστής,304,unigram,masculine,accusative,singular,muje,1.090189301746293,muje,muje,umwambuzi,,robber
λῃστής,286,unigram,masculine,nominative,plural,n'abambuzi,3.8326259135058,n'abambuzi,n'abambuzi,,ibisambo,robber
λῃστής,140,unigram,masculine,nominative,singular,umujura,1.6953379602751522,,,,umujura,robber
ἄρχων,182,unigram,masculine,accusative,plural,akoranya,1.3791648228055975,,,,akoranya,ruler
ἄρχων,60,unigram,masculine,nominative,plural,bacu,4.056647700218171,bacu,bacu,bacu,abatware,ruler
ἄρχων,280,unigram,masculine,nominative,singular,umutware,7.420764588624359,umutware,umutware,umutware,umutware,ruler
ἀκοή,6,unigram,feminine,accusative,plural,impuha,1.0647463382385278,,,,impuha,rumor
ἀκοή,68,unigram,feminine,accusative,singular,w'intara,1.4703734879022974,w'intara,w'intara,inkuru,ubwamamare,rumor
ἀκοή,145,unigram,feminine,nominative,plural,arazibuka,1.3168275199353623,arazibuka,arazibuka,,arazibuka,rumor
ἀκοή,294,unigram,feminine,nominative,singular,,,,,yamamara,yose,rumor
βιβλίον,47,unigram,neuter,accusative,singular,,,w'igitabo,w'igitabo,igitabo,igitabo,"scroll, book"
διάκονος,80,unigram,masculine,nominative,singular,,,,,ajye,umugaragu,"servant, minister, deacon"
δοῦλος,188,unigram,masculine,accusative,plural,abagaragu,8.46619526689825,abagaragu,abagaragu,abagaragu,abagaragu,"servant, slave"
δοῦλος,24,unigram,masculine,accusative,singular,umugaragu,19.244330333051657,umugaragu,umugaragu,umugaragu,umugaragu,"servant, slave"
δοῦλος,88,unigram,masculine,nominative,plural,Abagaragu,7.9694591494407305,Abagaragu,Abagaragu,Abagaragu,Abagaragu,"servant, slave"
δοῦλος,183,unigram,masculine,nominative,singular,mugaragu,1.3767325444126692,mugaragu,mugaragu,shebuja,umugaragu,"servant, slave"
πρόβατον,290,unigram,neuter,accusative,plural,intama,32.37011057322039,intama,intama,intama,intama,sheep
πρόβατον,127,unigram,neuter,accusative,singular,intama,10.453696057544546,intama,intama,intama,intama,sheep
ποιμήν,222,unigram,masculine,nominative,plural,abashumba,25.85493088513728,abashumba,abashumba,abungeri,abashumba,"shepherd, pastor"
ποιμήν,253,unigram,masculine,nominative,singular,intama,1.3804425941396308,intama,intama,,umushumba,"shepherd, pastor"
σημεῖον,124,unigram,neuter,accusative,plural,,,n'ibitangaza,n'ibitangaza,ibimenyetso,ibimenyetso,sign
σημεῖον,112,unigram,neuter,accusative,singular,ikimenyetso,4.437781201632081,ikimenyetso,ikimenyetso,ikimenyetso,ikimenyetso,sign
σημεῖον,37,unigram,neuter,nominative,plural,ibimenyetso,1.8214661733436148,,,ibimenyetso,ibimenyetso,sign
σημεῖον,79,unigram,neuter,nominative,singular,ikimenyetso,5.56028727214207,ikimenyetso,ikimenyetso,ikimenyetso,ikimenyetso,sign
δραχμή,153,unigram,feminine,accusative,singular,akibonye,3.999796512865521,akibonye,akibonye,,,"silver coin, drachma"
ἀργύριον,193,unigram,neuter,accusative,plural,bikoroto,1.2162334905599919,bikoroto,bikoroto,by'ifeza,bya,"silver, money"
ἀργύριον,297,unigram,neuter,accusative,singular,amafaranga,1.2836592942956775,amafaranga,amafaranga,ifeza,,"silver, money"
ἁμαρτία,248,unigram,feminine,accusative,plural,ibyaha,2.671811372805901,ibyaha,ibyaha,ibyaha,ibyaha,sin
ἁμαρτία,195,unigram,feminine,accusative,singular,icyaha,2.912450882563384,icyaha,icyaha,icyaha,icyaha,sin
ἁμαρτία,257,unigram,feminine,nominative,plural,,,urabibabariwe,urabibabariwe,byawe,byawe,sin
ἁμαρτία,254,unigram,feminine,nominative,singular,cyaha,2.1912566607867725,cyaha,cyaha,icyaha,,sin
ἀδελφή,277,unigram,feminine,accusative,plural,,,nyina,nyina,bashiki,bashiki,sister
ἀδελφή,118,unigram,feminine,accusative,singular,,,Mariya,Mariya,mwene,mwene,sister
ἀδελφή,18,unigram,feminine,nominative,plural,bashiki,4.236487992808712,bashiki,bashiki,,bashiki,sister
ἀδελφή,276,unigram,feminine,nominative,singular,mushiki,3.095664719775042,mushiki,mushiki,mushiki,mushiki,sister
