lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1796_translation,version_1797_translation,version_1798_translation,version_1799_translation,version_1800_translation,english_translation
βασιλεύς,96,unigram,masculine,accusative,plural,,,kuningasten,,maaherrain,eteen,maaherrojen,king
βασιλεύς,50,unigram,masculine,accusative,singular,kuninkaan,2.131381127098998,kuninkaan,,kuninkaaksi,kuninkaan,kuninkaan,king
βασιλεία,68,unigram,feminine,accusative,plural,,,valtakunnat,,,näytti,,kingdom
βασιλεία,144,unigram,feminine,accusative,singular,Jumalan,1.2295714104210438,,,Jumalan,Jumalan,Jumalan,kingdom
κόπος,179,unigram,masculine,accusative,plural,pahoitatte,1.4225724215235336,vaivaatte,,pahoitatte,pahoitatte,pahoitatte,"labour, work, trouble, difficulty"
κόπος,77,unigram,masculine,accusative,singular,vaivaa,5.351460607669654,,,vaivaa,vaivaa,vaivaa,"labour, work, trouble, difficulty"
λύχνος,205,unigram,masculine,nominative,singular,lamppu,2.059532967735428,valaistu,,lamppu,lamppu,lamppu,lamp
κλῆρος,88,unigram,masculine,accusative,plural,arpaa,1.2013523596909814,arpaa,,arpaa,,,"lots (casting of lots), inheritance"
κλῆρος,1,unigram,masculine,accusative,singular,arpaa,2.479590693495601,arpaa,,arpaa,arpaa,arpaa,"lots (casting of lots), inheritance"
ἄνθρωπος,261,unigram,masculine,accusative,plural,ihmiset,1.9017253979784785,ihmiset,,ihmiset,ihmisten,ihmisiä,man
ἄνθρωπος,227,unigram,masculine,accusative,singular,ihmisen,3.7794944766204877,ihmisen,,ihmisen,ihmisen,ihmisen,man
ἄνθρωπος,107,unigram,masculine,nominative,plural,ihmiset,132.1884290575317,ihmiset,,ihmiset,ihmiset,ihmiset,man
ἄνθρωπος,157,unigram,masculine,nominative,singular,mies,6.766449368710481,ihminen,,mies,mies,mies,man
ἀνήρ,218,unigram,masculine,accusative,plural,miestä,6.406360032075787,miestä,,miestä,miestä,miestä,"man, husband"
ἀνήρ,222,unigram,masculine,accusative,singular,Maria,1.0926626169476488,,,,Maria,,"man, husband"
ἀνήρ,133,unigram,masculine,nominative,plural,miestä,3.449054320284202,miestä,,miestä,miestä,miestä,"man, husband"
ἀνήρ,212,unigram,masculine,nominative,singular,mies,26.785024611013675,mies,,mies,mies,mies,"man, husband"
μνᾶ,264,unigram,feminine,accusative,plural,leiviskää,1.7170648013702199,leiviskää,,leiviskää,kymmenen,minaa,mina (about 100 days' wages)
μνᾶ,10,unigram,feminine,accusative,singular,seisoville,1.0960670999999007,seisoville,,,,,mina (about 100 days' wages)
πρωτοκαθεδρία,94,unigram,feminine,accusative,plural,pidoissa,1.8270471984786147,,,,pidoissa,pidoissa,"most important seat, seat of honour"
μήτηρ,244,unigram,feminine,accusative,singular,äitinsä,1.7150094339835111,,,,äitinsä,,mother
ὄρος,194,unigram,neuter,accusative,plural,vuorille,2.6935535761650824,vuorille,,vuorille,vuorille,vuorille,mountain
ὄρος,233,unigram,neuter,accusative,singular,vuorelle,44.06822402088857,vuorelle,,vuorelle,vuorelle,vuorelle,mountain
μύρον,78,unigram,neuter,accusative,plural,lepäsivät,1.0960965115985384,lepäsivät,,,,,myrrh
μύρον,24,unigram,neuter,accusative,singular,voiteli,1.0961063339256685,,,,voiteli,,myrrh
ὄνομα,30,unigram,neuter,accusative,singular,nimeni,1.3348250351031017,nimensä,,nimeni,nimeni,,name
ὄνομα,223,unigram,neuter,nominative,singular,nimi,1.7056261339744074,nimi,,nimi,nimensä,nimesi,name
ἔθνος,203,unigram,neuter,accusative,plural,kansoille,1.7190916908557043,saarnattaman,,kansoille,kansat,kansoille,nation
ἔθνος,173,unigram,neuter,accusative,singular,Kansa,1.4866510353817344,kansaa,,nousee,Kansa,Kansa,nation
ἔθνος,267,unigram,neuter,nominative,plural,pakanat,1.2811540221283941,pakanat,,,,,nation
ἔθνος,23,unigram,neuter,nominative,singular,Kansa,1.4599287412713315,valtakuntaa,,nousee,Kansa,Kansa,nation
νύξ,168,unigram,feminine,accusative,plural,yötä,4.975139773076833,yötä,,yötä,yötä,yötä,night
ὅρκος,51,unigram,masculine,accusative,plural,,,valan,,,vannonut,valansa,oath
παραβολή,230,unigram,feminine,accusative,plural,vertaukset,10.039535255592313,,,vertaukset,vertaukset,vertaukset,parable
παραβολή,199,unigram,feminine,accusative,singular,vertauksen,7.443326778080189,vertauksen,,vertauksen,esitti,vertauksen,parable
μέρος,307,unigram,neuter,accusative,plural,,,ääriin,,tienoille,seudulle,alueelle,part
μέρος,43,unigram,neuter,accusative,singular,,,osan,,,kuoliaaksi,,part
τόπος,240,unigram,masculine,accusative,plural,,,nälkä,,,maanjäristyksiä,,place
τόπος,260,unigram,masculine,accusative,singular,paikkaan,13.52170506313807,paikkaan,,paikkaan,paikkaan,paikkaan,place
πρωτοκλισία,242,unigram,feminine,accusative,plural,pidoissa,1.6670528812429355,ehtoollisissa,,,pidoissa,pidoissa,place of honor
ὄφις,93,unigram,masculine,accusative,singular,käärmeen,3.05876761783428,kärmeen,,käärmeen,käärmeen,käärmeen,poison
σκεῦος,226,unigram,neuter,accusative,singular,astiaa,1.623288414307577,astiaa,,astiaa,,,"possession, object, thing, jar, vessel"
σκεῦος,117,unigram,neuter,nominative,plural,tavaransa,1.230494596656296,kalunsa,,tavaransa,tavaransa,tavaroita,"possession, object, thing, jar, vessel"
δύναμις,95,unigram,feminine,accusative,plural,,,väkevää,,voimallista,,,"power, ability, miracle"
δύναμις,39,unigram,feminine,accusative,singular,voimaa,17.873089053000495,voimaa,,voimaa,voimaa,voimaa,"power, ability, miracle"
δύναμις,71,unigram,feminine,nominative,plural,,,väkevät,,voimalliset,voimat,,"power, ability, miracle"
δύναμις,104,unigram,feminine,nominative,singular,voima,19.07621192774055,voima,,voima,voima,voima,"power, ability, miracle"
ἱερεύς,16,unigram,masculine,nominative,plural,nuhteettomat,1.096091603901298,nuhteettomat,,,,,priest
ἱερεύς,214,unigram,masculine,nominative,singular,pappi,5.703979319548329,pappi,,pappi,pappi,pappi,priest
φυλακή,21,unigram,feminine,accusative,singular,vankilaan,4.944159828522734,torniin,,vankeuteen,vankilaan,vankilaan,prison
προφήτης,54,unigram,masculine,accusative,plural,profeetat,2.6832836799849216,prophetat,,profeetat,profeetat,profeetat,prophet
προφήτης,178,unigram,masculine,accusative,singular,profeetta,2.868957886672438,propheta,,profeetta,profeetta,profeetta,prophet
προφήτης,200,unigram,masculine,nominative,plural,profeetat,29.252020759764623,prophetat,,profeetat,profeetat,profeetat,prophet
προφήτης,234,unigram,masculine,nominative,singular,profeetta,98.39601223428753,propheta,,profeetta,profeetta,profeetta,prophet
ποταμός,113,unigram,masculine,nominative,plural,virrat,3.5978381948828537,virrat,,virrat,,virrat,river
ποταμός,151,unigram,masculine,nominative,singular,virta,1.1062887916934805,,,,,virta,river
λῃστής,306,unigram,masculine,accusative,singular,,,ryövärin,,ryöväriä,,,robber
λῃστής,285,unigram,masculine,nominative,plural,,,ryövärit,,kanssansa,,,robber
λῃστής,141,unigram,masculine,nominative,singular,,,ryöväri,,ryöväri,rosvo,rosvo,robber
ἄρχων,182,unigram,masculine,accusative,plural,hallitusmiehet,2.2036852167738625,valtamiehet,,hallitusmiehet,hallitusmiehet,hallitusmiehet,ruler
ἄρχων,58,unigram,masculine,nominative,plural,,,päämiehet,,Kristus,Messias,nyt,ruler
ἄρχων,279,unigram,masculine,nominative,singular,ruhtinas,3.967614562751584,päämies,,ruhtinas,ruhtinas,ruhtinas,ruler
ἀκοή,66,unigram,feminine,accusative,singular,,,,,maineen,,maineesta,rumor
ἀκοή,296,unigram,feminine,nominative,singular,maineensa,1.2530335925089913,kuului,,levisi,maineensa,maineensa,rumor
βιβλίον,45,unigram,neuter,accusative,singular,,,,,kirjan,Mooses,erokirjan,"scroll, book"
διάκονος,81,unigram,masculine,nominative,singular,palvelijanne,1.9377028037822104,palvelianne,,palvelijanne,tahtoo,palvelijanne,"servant, minister, deacon"
δοῦλος,188,unigram,masculine,accusative,plural,palvelijansa,2.43978501239714,palveliansa,,palvelijansa,palvelijat,palvelijansa,"servant, slave"
δοῦλος,25,unigram,masculine,accusative,singular,palvelijan,2.3770762334037854,palvelian,,palvelijan,palvelijan,palvelijan,"servant, slave"
δοῦλος,92,unigram,masculine,nominative,plural,palvelijat,6.479757245207599,palveliat,,palvelijat,palvelijat,palvelijat,"servant, slave"
δοῦλος,183,unigram,masculine,nominative,singular,palvelija,32.40363433303911,palvelia,,palvelija,palvelija,palvelija,"servant, slave"
πρόβατον,289,unigram,neuter,accusative,plural,lampaat,10.591848794955833,lampaat,,lampaat,lampaat,lampaat,sheep
ποιμήν,221,unigram,masculine,nominative,plural,,,paimenet,,minkä,,,"shepherd, pastor"
